area1,area2,area3
서울특별시,,
서울특별시,종로구,
서울특별시,종로구,청운효자동
서울특별시,종로구,사직동
서울특별시,종로구,삼청동
서울특별시,종로구,부암동
서울특별시,종로구,평창동
서울특별시,종로구,무악동
서울특별시,종로구,교남동
서울특별시,종로구,가회동
서울특별시,종로구,종로1.2.3.4가동
서울특별시,종로구,종로5.6가동
서울특별시,종로구,이화동
서울특별시,종로구,혜화동
서울특별시,종로구,창신제1동
서울특별시,종로구,창신제2동
서울특별시,종로구,창신제3동
서울특별시,종로구,숭인제1동
서울특별시,종로구,숭인제2동
서울특별시,중구,
서울특별시,중구,소공동
서울특별시,중구,회현동
서울특별시,중구,명동
서울특별시,중구,필동
서울특별시,중구,장충동
서울특별시,중구,광희동
서울특별시,중구,을지로동
서울특별시,중구,신당동
서울특별시,중구,다산동
서울특별시,중구,약수동
서울특별시,중구,청구동
서울특별시,중구,신당제5동
서울특별시,중구,동화동
서울특별시,중구,황학동
서울특별시,중구,중림동
서울특별시,용산구,
서울특별시,용산구,후암동
서울특별시,용산구,용산2가동
서울특별시,용산구,남영동
서울특별시,용산구,청파동
서울특별시,용산구,원효로제1동
서울특별시,용산구,원효로제2동
서울특별시,용산구,효창동
서울특별시,용산구,용문동
서울특별시,용산구,한강로동
서울특별시,용산구,이촌제1동
서울특별시,용산구,이촌제2동
서울특별시,용산구,이태원제1동
서울특별시,용산구,이태원제2동
서울특별시,용산구,한남동
서울특별시,용산구,서빙고동
서울특별시,용산구,보광동
서울특별시,성동구,
서울특별시,성동구,왕십리제2동
서울특별시,성동구,왕십리도선동
서울특별시,성동구,마장동
서울특별시,성동구,사근동
서울특별시,성동구,행당제1동
서울특별시,성동구,행당제2동
서울특별시,성동구,응봉동
서울특별시,성동구,금호1가동
서울특별시,성동구,금호2.3가동
서울특별시,성동구,금호4가동
서울특별시,성동구,옥수동
서울특별시,성동구,성수1가제1동
서울특별시,성동구,성수1가제2동
서울특별시,성동구,성수2가제1동
서울특별시,성동구,성수2가제3동
서울특별시,성동구,송정동
서울특별시,성동구,용답동
서울특별시,광진구,
서울특별시,광진구,화양동
서울특별시,광진구,군자동
서울특별시,광진구,중곡제1동
서울특별시,광진구,중곡제2동
서울특별시,광진구,중곡제3동
서울특별시,광진구,중곡제4동
서울특별시,광진구,능동
서울특별시,광진구,광장동
서울특별시,광진구,자양제1동
서울특별시,광진구,자양제2동
서울특별시,광진구,자양제3동
