시도명,시군구명,읍면동명
인천광역시,옹진군,연평면
광주광역시,,
광주광역시,동구,
광주광역시,동구,충장동
광주광역시,동구,동명동
광주광역시,동구,계림1동
광주광역시,동구,계림2동
광주광역시,동구,산수1동
광주광역시,동구,산수2동
광주광역시,동구,지산1동
광주광역시,동구,지산2동
광주광역시,동구,서남동
광주광역시,동구,학동
광주광역시,동구,학운동
광주광역시,동구,지원1동
광주광역시,동구,지원2동
광주광역시,서구,
광주광역시,서구,양동
광주광역시,서구,양3동
광주광역시,서구,농성1동
광주광역시,서구,농성2동
광주광역시,서구,광천동
광주광역시,서구,유덕동
광주광역시,서구,치평동
광주광역시,서구,상무1동
광주광역시,서구,상무2동
광주광역시,서구,화정1동
광주광역시,서구,화정2동
광주광역시,서구,화정3동
광주광역시,서구,화정4동
광주광역시,서구,서창동
광주광역시,서구,금호1동
광주광역시,서구,금호2동
광주광역시,서구,풍암동
광주광역시,서구,동천동
광주광역시,남구,
광주광역시,남구,양림동
광주광역시,남구,방림1동
광주광역시,남구,방림2동
광주광역시,남구,봉선1동
광주광역시,남구,봉선2동
광주광역시,남구,사직동
광주광역시,남구,월산동
광주광역시,남구,월산4동
광주광역시,남구,월산5동
광주광역시,남구,백운1동
광주광역시,남구,백운2동
광주광역시,남구,주월1동
광주광역시,남구,주월2동
광주광역시,남구,진월동
광주광역시,남구,효덕동
광주광역시,남구,송암동
광주광역시,남구,대촌동
광주광역시,북구,
광주광역시,북구,중흥1동
광주광역시,북구,중흥2동
광주광역시,북구,중흥3동
광주광역시,북구,중앙동
광주광역시,북구,임동
광주광역시,북구,신안동
광주광역시,북구,용봉동
광주광역시,북구,운암1동
광주광역시,북구,운암2동
광주광역시,북구,운암3동
광주광역시,북구,동림동
광주광역시,북구,우산동
광주광역시,북구,풍향동
광주광역시,북구,문화동
광주광역시,북구,문흥1동
광주광역시,북구,문흥2동
광주광역시,북구,두암1동
광주광역시,북구,두암2동
광주광역시,북구,두암3동
광주광역시,북구,삼각동
광주광역시,북구,일곡동
광주광역시,북구,매곡동
광주광역시,북구,오치1동
광주광역시,북구,오치2동
광주광역시,북구,석곡동
광주광역시,북구,건국동
광주광역시,북구,양산동
광주광역시,북구,신용동
광주광역시,광산구,
광주광역시,광산구,송정1동
광주광역시,광산구,송정2동
광주광역시,광산구,도산동
광주광역시,광산구,신흥동
광주광역시,광산구,어룡동
광주광역시,광산구,우산동
광주광역시,광산구,월곡1동
광주광역시,광산구,월곡2동
광주광역시,광산구,비아동
광주광역시,광산구,첨단1동
광주광역시,광산구,첨단2동
광주광역시,광산구,신가동
광주광역시,광산구,운남동
광주광역시,광산구,수완동
광주광역시,광산구,하남동
광주광역시,광산구,임곡동
광주광역시,광산구,동곡동
광주광역시,광산구,평동
광주광역시,광산구,삼도동
광주광역시,광산구,본량동
광주광역시,광산구,신창동
대전광역시,,
대전광역시,동구,
대전광역시,동구,중앙동
대전광역시,동구,효동
대전광역시,동구,신인동
대전광역시,동구,판암1동
대전광역시,동구,판암2동
대전광역시,동구,용운동
대전광역시,동구,대동
대전광역시,동구,자양동
대전광역시,동구,가양1동
대전광역시,동구,가양2동
대전광역시,동구,용전동
대전광역시,동구,성남동
대전광역시,동구,홍도동
대전광역시,동구,삼성동
대전광역시,동구,대청동
대전광역시,동구,산내동
대전광역시,중구,
대전광역시,중구,은행선화동
대전광역시,중구,목동
대전광역시,중구,중촌동
대전광역시,중구,대흥동
대전광역시,중구,문창동
대전광역시,중구,석교동
대전광역시,중구,대사동
대전광역시,중구,부사동
