area1,area2,area3,,,,
충청북도,,,,,,
충청북도,청주시,,,,,
충청북도,상당구,낭성면,,,,
충청북도,상당구,미원면,,,,
충청북도,상당구,가덕면,,,,
충청북도,상당구,남일면,,,,
충청북도,상당구,문의면,,,,
충청북도,상당구,중앙동,,,,
충청북도,상당구,성안동,,,,
충청북도,상당구,탑대성동,,,,
충청북도,상당구,영운동,,,,
충청북도,상당구,금천동,,,,
충청북도,상당구,용담명암산성동,,,,
충청북도,상당구,용암1동,,,,
충청북도,상당구,용암2동,,,,
충청북도,서원구,남이면,,,,
충청북도,서원구,현도면,,,,
충청북도,서원구,사직1동,,,,
충청북도,서원구,사직2동,,,,
충청북도,서원구,사창동,,,,
충청북도,서원구,모충동,,,,
충청북도,서원구,산남동,,,,
충청북도,서원구,분평동,,,,
충청북도,서원구,수곡1동,,,,
충청북도,서원구,수곡2동,,,,
충청북도,서원구,성화개신죽림동,,,,
충청북도,흥덕구,오송읍,,,,
충청북도,흥덕구,강내면,,,,
충청북도,흥덕구,옥산면,,,,
충청북도,흥덕구,운천신봉동,,,,
충청북도,흥덕구,복대1동,,,,
충청북도,흥덕구,복대2동,,,,
충청북도,흥덕구,가경동,,,,
충청북도,흥덕구,봉명1동,,,,
충청북도,흥덕구,봉명2송정동,,,,
충청북도,흥덕구,강서1동,,,,
충청북도,흥덕구,강서2동,,,,
충청북도,청원구,내수읍,,,,
충청북도,청원구,오창읍,,,,
충청북도,청원구,북이면,,,,
충청북도,청원구,우암동,,,,
충청북도,청원구,내덕1동,,,,
충청북도,청원구,내덕2동,,,,
충청북도,청원구,율량사천동,,,,
충청북도,청원구,오근장동,,,,
충청북도,충주시,주덕읍,,,,
충청북도,충주시,대소원면,,,,
충청북도,충주시,양성면,,,,
충청북도,충주시,동량면,,,,
충청북도,충주시,소태면,,,,
충청북도,충주시,교현2동,,,,
충청북도,충주시,문화동,,,,
충청북도,충주시,봉방동,,,,
충청북도,충주시,목행.용탄동,,,,
충청북도,충주시,살미면,,,,
충청북도,충주시,신니면,,,,
충청북도,충주시,중앙탑면,,,,
충청북도,충주시,산척면,,,,
충청북도,충주시,성내충인동,,,,
충청북도,충주시,용산동,,,,
충청북도,충주시,호암직동,,,,
충청북도,충주시,칠금.금릉동,,,,
충청북도,충주시,수안보면,,,,
충청북도,충주시,노은면,,,,
충청북도,충주시,금가면,,,,
충청북도,충주시,엄정면,,,,
충청북도,충주시,교현안림동,,,,
충청북도,충주시,지현동,,,,
충청북도,충주시,달천동,,,,
충청북도,충주시,연수동,,,,
충청북도,제천시,교동,,,,
충청북도,제천시,의림지동,,,,
충청북도,제천시,중앙동,,,,
충청북도,제천시,남현동,,,,
충청북도,제천시,영서동,,,,
충청북도,제천시,용두동,,,,
충청북도,제천시,신백동,,,,
충청북도,제천시,청전동,,,,
충청북도,제천시,화산동,,,,
충청북도,제천시,봉양읍,,,,
충청북도,제천시,금성면,,,,
